"Date","Hour","Minute","Second","Millisecond","latitude","longitude","ax","ay","az","gx","gy","gz","magx","magy","magz","npassi"
29,8,31,59,470,45.19427044,11.30917663,-2.0685901641845703,5.477933406829834,9.155426979064941,0.33793067932128906,0.7900319695472717,0.2864345610141754,17.69999885559082,-39.65999984741211,-10.979999542236328,0
29,8,31,59,541,45.19427044,11.30917663,-1.455674648284912,5.018246650695801,8.772355079650879,0.33793067932128906,0.7900319695472717,0.2864345610141754,17.69999885559082,-39.65999984741211,-10.979999542236328,0
29,8,31,59,563,45.19427044,11.30917663,-1.455674648284912,5.018246650695801,8.772355079650879,-0.9131214022636414,-1.0841026306152344,-0.00800248421728611,17.69999885559082,-39.65999984741211,-10.979999542236328,0
29,8,31,59,606,45.19427044,11.30917663,-1.455674648284912,5.018246650695801,8.772355079650879,-0.9131214022636414,-1.0841026306152344,-0.00800248421728611,11.039999961853027,-42.05999755859375,-10.559999465942383,0
29,8,31,59,640,45.19427044,11.30917663,-1.647210717201233,3.600879430770874,10.457873344421387,-0.9131214022636414,-1.0841026306152344,-0.00800248421728611,11.039999961853027,-42.05999755859375,-10.559999465942383,0
29,8,31,59,691,45.19427044,11.30917663,-0.5363011956214905,3.5242648124694824,7.5848307609558105,-0.9131214022636414,-1.0841026306152344,-0.00800248421728611,11.039999961853027,-42.05999755859375,-10.559999465942383,0
29,8,31,59,761,45.19427044,11.30917663,-0.9959878921508789,3.332728862762451,8.96389102935791,-0.9131214022636414,-1.0841026306152344,-0.00800248421728611,11.039999961853027,-42.05999755859375,-10.559999465942383,0
29,8,31,59,762,45.19427044,11.30917663,-0.9959878921508789,3.332728862762451,8.96389102935791,-0.2900387942790985,-0.5172196626663208,-0.08008458465337753,11.039999961853027,-42.05999755859375,-10.559999465942383,0
29,8,31,59,806,45.19427044,11.30917663,-0.9959878921508789,3.332728862762451,8.96389102935791,-0.2900387942790985,-0.5172196626663208,-0.08008458465337753,8.220000267028809,-42.0,-11.219999313354492,0
29,8,31,59,849,45.19427044,11.30917663,-0.07661445438861847,4.098873138427734,9.155426979064941,-0.2900387942790985,-0.5172196626663208,-0.08008458465337753,8.220000267028809,-42.0,-11.219999313354492,0
29,8,31,59,900,45.19427044,11.30917663,0.3064578175544739,1.647210717201233,9.423578262329102,-0.2900387942790985,-0.5172196626663208,-0.08008458465337753,8.220000267028809,-42.0,-11.219999313354492,0
29,8,31,59,960,45.19427044,11.30917663,0.3064578175544739,1.647210717201233,9.423578262329102,-0.5783672332763672,-0.00897976104170084,-0.13994936645030975,8.220000267028809,-42.0,-11.219999313354492,0
29,8,31,59,970,45.19427044,11.30917663,0.4596867263317108,3.754108190536499,8.197746276855469,-0.5783672332763672,-0.00897976104170084,-0.13994936645030975,8.220000267028809,-42.0,-11.219999313354492,0
29,8,32,0,6,45.19427044,11.30917663,0.4596867263317108,3.754108190536499,8.197746276855469,-0.5783672332763672,-0.00897976104170084,-0.13994936645030975,4.619999885559082,-40.13999938964844,-12.960000038146973,0
29,8,32,0,40,45.19427044,11.30917663,0.727837324142456,1.4173674583435059,9.84495735168457,-0.5783672332763672,-0.00897976104170084,-0.13994936645030975,4.619999885559082,-40.13999938964844,-12.960000038146973,0
29,8,32,0,110,45.19427784,11.30917393,0.727837324142456,2.4133553504943848,9.117119789123535,-0.5783672332763672,-0.00897976104170084,-0.13994936645030975,4.619999885559082,-40.13999938964844,-12.960000038146973,0
29,8,32,0,170,45.19427784,11.30917393,0.727837324142456,2.4133553504943848,9.117119789123535,0.6714630722999573,0.642202615737915,0.6431798338890076,4.619999885559082,-40.13999938964844,-12.960000038146973,0
29,8,32,0,184,45.19427784,11.30917393,0.3064578175544739,2.5282769203186035,9.078812599182129,0.6714630722999573,0.642202615737915,0.6431798338890076,4.619999885559082,-40.13999938964844,-12.960000038146973,0
29,8,32,0,206,45.19427784,11.30917393,0.3064578175544739,2.5282769203186035,9.078812599182129,0.6714630722999573,0.642202615737915,0.6431798338890076,3.6599998474121094,-38.040000915527344,-15.0,0
29,8,32,0,251,45.19427784,11.30917393,0.1149216815829277,3.294421434402466,9.461885452270508,0.6714630722999573,0.642202615737915,0.6431798338890076,3.6599998474121094,-38.040000915527344,-15.0,0
29,8,32,0,322,45.19427784,11.30917393,-0.5363011956214905,3.294421434402466,8.772355079650879,0.6714630722999573,0.642202615737915,0.6431798338890076,3.6599998474121094,-38.040000915527344,-15.0,0
29,8,32,0,370,45.19427784,11.30917393,-0.5363011956214905,3.294421434402466,8.772355079650879,0.16077972948551178,7.940828800201416E-4,0.07629691809415817,3.6599998474121094,-38.040000915527344,-15.0,0
29,8,32,0,398,45.19427784,11.30917393,-0.3064578175544739,3.179499864578247,9.002198219299316,0.16077972948551178,7.940828800201416E-4,0.07629691809415817,3.6599998474121094,-38.040000915527344,-15.0,0
29,8,32,0,406,45.19427784,11.30917393,-0.3064578175544739,3.179499864578247,9.002198219299316,0.16077972948551178,7.940828800201416E-4,0.07629691809415817,3.0,-37.439998626708984,-15.779999732971191,0
29,8,32,0,461,45.19427784,11.30917393,-0.9959878921508789,4.060565948486328,8.734047889709473,0.16077972948551178,7.940828800201416E-4,0.07629691809415817,3.0,-37.439998626708984,-15.779999732971191,0
29,8,32,0,530,45.19427784,11.30917393,-0.4596867263317108,3.907337188720703,8.695740699768066,0.16077972948551178,7.940828800201416E-4,0.07629691809415817,3.0,-37.439998626708984,-15.779999732971191,0
